gene1	gene2	similarity	module1	module2	PPI	gene1_Col_nlp20_180_lfc	gene2_Col_nlp20_180_lfc
AT1G01560	AT1G02400	0.40389835595293816	turquoise	turquoise		3.62466039288573	2.99906308574681
AT1G01560	AT1G28380	0.4096530749036795	turquoise	turquoise		3.62466039288573	1.50484067572599
AT1G01560	AT1G29690	0.4112103937390513	turquoise	turquoise		3.62466039288573	1.76658863248922
AT1G01560	AT1G42990	0.40482126580416644	turquoise	turquoise		3.62466039288573	2.35525587529478
AT1G01560	AT2G37940	0.40431602752730506	turquoise	turquoise		3.62466039288573	2.44095775911208
AT1G01560	AT3G11820	0.419477940837432	turquoise	turquoise		3.62466039288573	2.12884249111616
AT1G02360	AT1G30755	0.4125922289483036	turquoise	turquoise		1.83166047967837	3.28908124408455
AT1G02360	AT3G26500	0.40766856790170813	turquoise	turquoise		1.83166047967837	3.26042471815726
AT1G02400	AT1G01560	0.40389835595293816	turquoise	turquoise		2.99906308574681	3.62466039288573
AT1G02400	AT1G05675	0.4171617109565287	turquoise	turquoise		2.99906308574681	4.76998816109569
AT1G02400	AT1G07000	0.4271002994895883	turquoise	turquoise		2.99906308574681	3.08298427906217
AT1G02400	AT1G13210	0.41076099196304167	turquoise	turquoise		2.99906308574681	2.27396446190773
AT1G02400	AT1G14370	0.4111139316839594	turquoise	turquoise		2.99906308574681	1.65603223759713
AT1G02400	AT1G14540	0.4011996972410415	turquoise	turquoise		2.99906308574681	3.52197541424859
AT1G02400	AT1G15890	0.40862838936081763	turquoise	turquoise		2.99906308574681	1.55883335310815
AT1G02400	AT1G16090	0.41604233693714904	turquoise	turquoise		2.99906308574681	3.36978943869951
AT1G02400	AT1G16670	0.41589314205238115	turquoise	turquoise		2.99906308574681	2.01661273190067
AT1G02400	AT1G18570	0.40375157257822214	turquoise	turquoise		2.99906308574681	4.60287649981078
AT1G02400	AT1G19020	0.4066525276238194	turquoise	turquoise		2.99906308574681	3.88971117182044
AT1G02400	AT1G21100	0.40135928893018874	turquoise	turquoise		2.99906308574681	2.89526613630603
AT1G02400	AT1G21110	0.4310040736305751	turquoise	turquoise		2.99906308574681	4.43916552023326
AT1G02400	AT1G21120	0.4229588776020768	turquoise	turquoise		2.99906308574681	5.38639955115215
AT1G02400	AT1G21130	0.41845506523552617	turquoise	turquoise		2.99906308574681	3.02171961529617
AT1G02400	AT1G22280	0.4239898310621661	turquoise	turquoise		2.99906308574681	1.59183408564961
AT1G02400	AT1G23840	0.4293650481882943	turquoise	turquoise		2.99906308574681	2.566000758532
